ID,Size,SameColumnConflicts,CrossColumnConflicts,TotalConflictTypes
lgp-test-2x4-6,2*4,0,1,1
lgp-test-2x5-1,2*5,0,1,1
lgp-test-2x6-11,2*6,0,1,1
lgp-test-6x2-16,6*2,0,1,1
lgp-test-6x2-28,6*2,0,1,1
lgp-test-6x2-38,6*2,0,1,1
lgp-test-3x5-15,3*5,0,1,1
lgp-test-4x4-2,4*4,0,1,1
lgp-test-6x3-21,6*3,0,1,1
lgp-test-6x3-39,6*3,0,1,1
lgp-test-4x5-5,4*5,0,1,1
lgp-test-4x5-15,4*5,0,1,1
lgp-test-4x5-17,4*5,0,1,1
lgp-test-4x5-19,4*5,0,1,1
lgp-test-5x4-29,5*4,0,1,1
lgp-test-4x6-6,4*6,0,1,1
lgp-test-4x6-35,4*6,0,1,1
lgp-test-6x4-2,6*4,0,1,1
lgp-test-6x4-11,6*4,0,1,1
lgp-test-6x4-15,6*4,0,1,1
lgp-test-6x4-28,6*4,0,1,1
lgp-test-5x5-1,5*5,0,1,1
lgp-test-5x5-5,5*5,0,1,1
lgp-test-5x5-17,5*5,0,1,1
lgp-test-5x5-37,5*5,0,1,1
lgp-test-5x6-2,5*6,0,1,1
lgp-test-5x6-4,5*6,0,1,1
lgp-test-5x6-9,5*6,0,1,1
lgp-test-6x5-2,6*5,0,1,1
lgp-test-6x5-15,6*5,0,1,1
lgp-test-6x5-19,6*5,0,1,1
lgp-test-6x5-37,6*5,0,1,1
lgp-test-6x6-2,6*6,0,1,1
lgp-test-6x6-5,6*6,0,1,1
lgp-test-6x6-8,6*6,0,1,1
lgp-test-6x6-9,6*6,0,1,1
lgp-test-6x6-13,6*6,0,1,1
lgp-test-6x6-14,6*6,0,1,1
lgp-test-6x6-19,6*6,0,1,1
lgp-test-6x6-22,6*6,0,1,1
lgp-test-6x6-39,6*6,0,1,1
